"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"protein"	"Gene"
-1.48990566811393	-6.64291537592495	-6.80223680357511	2.3476969798092e-07	8.56460593524003e-08	1.61057872317808e-05	7.10599761306305e-06	30	3.52904206673877	0.193722553388551	0.345838076638602	0.329827416999568	"Q92563"	"SPOCK2"
3.87966514551162	6.42152262044576	6.758105412154	4.31922061909674e-07	9.74090445282588e-08	1.61057872317808e-05	7.10599761306305e-06	30	3.52904206673877	0.193722553388551	2.50948818556251	2.265746228474	"P32119"	"PRDX2"
1.93746647826996	6.30287579142024	6.54940521608768	5.99870834850015e-07	1.79404328789695e-07	1.78946951492661e-05	7.84234819496777e-06	30	3.52904206673877	0.193722553388551	0.649626300664283	0.601640930270538	"P25786"	"PSMA1"
1.94646730996617	6.23090930147367	6.47810713906624	7.32530942550734e-07	2.21192132328236e-07	1.82100561526541e-05	7.84234819496777e-06	30	3.52904206673877	0.193722553388551	0.670909701559484	0.620684183149196	"P04406"	"GAPDH"
2.03317517640659	6.03646908268625	6.29041231214337	1.25920266115385e-06	3.84479329068908e-07	2.24498579851123e-05	7.84234819496777e-06	30	3.52904206673877	0.193722553388551	0.779931279984958	0.718230881508608	"P20618"	"PSMB1"
0.843887033616755	6.5098572184556	6.28968588974353	3.38482618221766e-07	3.85304523794107e-07	1.61057872317808e-05	7.84234819496777e-06	30	3.52904206673877	0.193722553388551	0.115530965816079	0.123760887841859	"P06744"	"GPI"
-0.817604141029475	-6.5429580543006	-6.28236194438658	3.08988560974148e-07	3.93724585747448e-07	1.61057872317808e-05	7.84234819496777e-06	30	3.52904206673877	0.193722553388551	0.107352112524319	0.116442885786673	"P47972"	"NPTX2"
1.91265470917243	6.0103223649837	6.25250441344893	1.35462643487518e-06	4.30011765343354e-07	2.24498579851123e-05	7.84234819496777e-06	30	3.52904206673877	0.193722553388551	0.696226129574467	0.643335973765156	"P37837"	"TALDO1"
1.63674426747342	5.71103269058392	5.91934364359157	3.13473003663803e-06	1.15354776072114e-06	3.89632755933969e-05	1.87003114864431e-05	30	3.52904206673877	0.193722553388551	0.564683460255203	0.525638603475753	"P28070"	"PSMB4"
3.16410316034264	5.56744332514994	5.85583232505405	4.69564440873119e-06	1.39302153845682e-06	4.66917878216288e-05	1.99773713502389e-05	30	3.52904206673877	0.193722553388551	2.22055923116718	2.00722799778293	"P00915"	"CA1"
1.5988520207545	5.62626197888852	5.82954988827408	3.9789036846749e-06	1.50617438782926e-06	4.23908331171655e-05	1.99773713502389e-05	30	3.52904206673877	0.193722553388551	0.55519985191885	0.517153176140123	"P00558"	"PGK1"
2.86088906397454	5.49800083536716	5.77713586106455	5.71066846315563e-06	1.760112754676e-06	4.676134956138e-05	2.10434423068608e-05	30	3.52904206673877	0.193722553388551	1.86150897610634	1.68596896418498	"P04040"	"CAT"
2.66361047344233	5.44475271191642	5.7166446459889	6.63592038895528e-06	2.10702369407578e-06	4.676134956138e-05	2.10434423068608e-05	30	3.52904206673877	0.193722553388551	1.64534816242941	1.49255978782379	"P07738"	"BPGM"
