"gene" "delta_mean" "pooled_sd" "effect_size" "confidence_interval_95_lower" "confidence_interval_95_upper" "abs_effect_ntile" "logFC" "t.ord" "t.mod" "p.ord" "p.mod" "q.ord" "q.mod" "df.r" "df.0" "s2.0" "s2" "s2.post" "protein"
"A1BG" 0.356197171845968 0.556875552034373 0.639635140283519 -0.136126273406794 1.41539655397383 42 -0.365409167669571 -1.72051173217369 -1.75553530413884 0.0956401609345845 0.0883012668275486 0.0345403558603187 0.0315763946035134 30 3.52904206673877 0.193722553388551 0.310110380453587 0.297860178465971 "P04217"
"A2M" 0.431009205790873 1.16644321560396 -0.369507233635634 -1.13431115395648 0.395296686685209 23 0.442155995595809 0.993912764566626 1.04205667373944 0.328214878247627 0.304841210206234 0.0893334829559825 0.0818027165445021 30 3.52904206673877 0.193722553388551 1.36058977522851 1.23777315839898 "P01023"
"ABHD14B" 0.771825893571707 0.902789912876335 -0.854934113200965 -1.64343402234344 -0.0664342040584932 53 0.79178690806063 2.29963002243089 2.39783743854298 0.02860501589151 0.0222116035445832 0.012812468458016 0.0104201817396967 30 3.52904206673877 0.193722553388551 0.815029626791261 0.749635011757638 "Q96IU4"
"ABI3BP" 0.741546332496481 0.513540046533748 1.44398930035099 0.603994565157464 2.28398403554451 81 -0.760724254888631 -3.88409012563936 -3.93951031996401 0.00052455994559006 0.000391608181143997 0.000566960235709955 0.000429591702730325 30 3.52904206673877 0.193722553388551 0.263723379393884 0.256355561989868 "Q7Z7G0"
"ACAN" 0.108362101254636 0.864913126758662 0.125286688225825 -0.634609378507968 0.885182754959618 7 -0.111164569390531 -0.337000273127854 -0.3509651748042 0.738463045399421 0.727810208810857 0.162455954511474 0.157315001842869 30 3.52904206673877 0.193722553388551 0.748074716839446 0.689727326516996 "P16112"
"ACHE" 0.525996699837966 0.35488944041393 1.48214243631612 0.638042569627809 2.32624230300442 84 -0.53960006276481 -3.98671569123621 -3.87839176157189 0.000396039158804297 0.000465723288173569 0.000496395378023872 0.000488842463817608 30 3.52904206673877 0.193722553388551 0.125946514917313 0.133080166108594 "P22303"
"ACTB" 1.12774277845899 0.692329099371796 -1.62891142302451 -2.48959728231107 -0.768225563737958 89 1.15690853997086 4.38149976054034 4.52570995385273 0.000132610343672472 7.1954434103363e-05 0.000244190600461928 0.000145807826123564 30 3.52904206673877 0.193722553388551 0.479319581836962 0.449259554308473 "P60709"
"ACTC1" 1.20508037646165 0.783134479184224 -1.53879111250082 -2.38914516266124 -0.688437062340412 86 1.23624624826669 4.13909117195902 4.29667636813049 0.000260191990735371 0.000140323920321124 0.000375822523855327 0.000211064767938893 30 3.52904206673877 0.193722553388551 0.613299612487146 0.569137745624079 "P68032"
"ADA2" 0.377912804469054 0.318701902562428 -1.18578772649475 -2.00036919581209 -0.371206257177414 68 0.387686411481185 3.1895710019895 3.0473866440589 0.00332677495523747 0.00447884175050259 0.0021998451030564 0.0027572309284236 30 3.52904206673877 0.193722553388551 0.101570902696911 0.111270167327344 "Q9NZK5"
"ADAMTS1" 0.0608102708620802 0.33783369704709 -0.18000060797252 -0.940576969980836 0.580575754035796 10 0.0623829502809272 0.484171582064498 0.467324542986718 0.631780053510038 0.64329071455543 0.1454211134234 0.14439418226272 30 3.52904206673877 0.193722553388551 0.114131606860505 0.122508816023533 "Q9UHI8"
"ADAMTS3" 0.141927017250505 0.542245056681549 0.261739623997819 -0.500305237916596 1.02378448591223 16 -0.145597543558708 -0.704035887808434 -0.717026623595785 0.486839737328383 0.478323270093633 0.121023951878719 0.117071837142327 30 3.52904206673877 0.193722553388551 0.294029701495576 0.283472043911453 "O15072"
"ADAMTSL2" 0.0423265658155488 0.329970613936155 0.128273743260479 -0.631653183843947 0.888200670364904 7 -0.0434212183797441 -0.345034952444398 -0.331700675855736 0.732475551397557 0.742179826882129 0.161615495669162 0.159947054396109 30 3.52904206673877 0.193722553388551 0.108880606061403 0.117810500346649 "Q86TH1"
"ADGRL1" 0.366063363029748 0.470729924784855 0.777650503517606 -0.00587922914668904 1.5611802361819 49 -0.375530518970172 -2.09175001586025 -2.1057315374193 0.0450275841191915 0.0427958603600488 0.0185526792715461 0.0174411254000069 30 3.52904206673877 0.193722553388551 0.221586662087956 0.218653872909051 "O94910"
"ADIPOQ" 0.272832708140782 1.44657023807553 -0.188606609592459 -0.949312100965782 0.572098881780864 11 0.279888726454768 0.50732028954115 0.533433368743935 0.615639446720359 0.597252319420475 0.142365017444094 0.135983291237571 30 3.52904206673877 0.193722553388551 2.0925654536859 1.89270598678138 "Q15848"
"ADM" 0.246323319788254 0.612962117936444 -0.401857329483115 -1.16767082354682 0.363956164580594 24 0.252693750472432 1.08092912113807 1.10958508115147 0.288341803418328 0.27507292410203 0.0802335186727086 0.0759328765905827 30 3.52904206673877 0.193722553388551 0.375722558025131 0.356566458330106 "P35318"
"AFM" 0.592509607207966 0.613243515367864 0.966189763706737 0.169773509553931 1.76260601785954 59 -0.607833131532309 -2.59888914675128 -2.66785695915788 0.0143650211221373 0.0116696027329239 0.00738830528344539 0.00605906374071868 30 3.52904206673877 0.193722553388551 0.376067609140736 0.356875191679765 "P43652"
"AGA" 0.663346554965574 0.376763096316861 1.76064630918017 0.884044173973738 2.6372484443866 92 -0.680502069318133 -4.73584460949111 -4.6474810084373 4.90726704151363e-05 5.03264534762627e-05 0.000128410754364741 0.000113811641984156 30 3.52904206673877 0.193722553388551 0.141950430746269 0.147399617106121 "P20933"
"AGRN" 0.431044100437632 0.369844868776427 1.16547270714793 0.352708877130527 1.97823653716533 68 -0.442191792690329 -3.13492699179635 -3.06843041055666 0.00382755589703321 0.00424035397851666 0.00246799125404188 0.00264388173434984 30 3.52904206673877 0.193722553388551 0.136785226960252 0.142778068024221 "O00468"
"AGT" 0.386272947194708 0.449279118298237 0.859761630270773 0.0709367392098652 1.64858652133168 53 -0.396262764794571 -2.31261523733355 -2.31753230673492 0.0277862064843237 0.0267169626200255 0.0125209657055714 0.0119938742555247 30 3.52904206673877 0.193722553388551 0.201851726138841 0.200996103942822 "P01019"
